timestamp,process_cpu_percent,system_relative_cpu,ram_rss_mb,ram_vms_mb
1780042478.346115,0.0,0.0,2502.19140625,5940.23046875
1780042479.3468556,1.0,0.25,2502.19140625,5940.23046875
1780042480.3501465,78.8,19.7,2503.9921875,5940.23046875
1780042481.3510265,153.0,38.25,2517.64453125,6070.23046875
1780042482.352364,1.0,0.25,2517.64453125,6070.23046875
1780042483.353606,1.0,0.25,2517.64453125,6070.23046875
1780042484.354659,0.0,0.0,2517.64453125,6070.23046875
1780042485.357,75.0,18.75,2518.58984375,6070.23046875
1780042486.3601139,113.7,28.425,2520.9296875,6070.23046875
1780042487.3638718,0.0,0.0,2520.9296875,6070.23046875
1780042488.365023,1.0,0.25,2520.93359375,6070.23046875
1780042489.37519,1.0,0.25,2520.93359375,6070.23046875
1780042490.3774137,78.9,19.725,2521.83984375,6070.23046875
1780042491.3782134,102.0,25.5,2522.984375,6070.23046875
1780042492.3795815,0.0,0.0,2522.984375,6070.23046875
1780042493.3821602,1.0,0.25,2522.984375,6070.23046875
1780042494.3834352,0.0,0.0,2522.984375,6070.23046875
1780042495.3842092,78.0,19.5,2523.921875,6070.23046875
1780042496.3974922,84.0,21.0,2525.52734375,6070.23046875
1780042497.3982,0.0,0.0,2525.52734375,6070.23046875
1780042498.3992257,1.0,0.25,2525.52734375,6070.23046875
1780042499.4005501,1.0,0.25,2525.52734375,6070.23046875
1780042500.4011886,79.0,19.75,2526.81640625,6070.23046875
1780042501.4023178,91.9,22.975,2527.27734375,6070.23046875
1780042502.4027278,1.0,0.25,2527.27734375,6070.23046875
1780042503.4036028,0.0,0.0,2527.27734375,6070.23046875
1780042504.4041543,1.0,0.25,2527.27734375,6070.23046875
1780042505.405132,73.0,18.25,2527.6640625,6070.23046875
1780042506.4086945,132.6,33.15,2532.26171875,6070.10546875
1780042507.4105906,1.0,0.25,2532.26171875,6070.10546875
1780042508.4131167,0.0,0.0,2532.26171875,6070.10546875
1780042509.413561,0.0,0.0,2532.26171875,6070.10546875
1780042510.418489,68.7,17.175,2528.5859375,6070.10546875
1780042511.41922,77.0,19.25,2528.8359375,6070.10546875
1780042512.420796,1.0,0.25,2528.8359375,6070.10546875
1780042513.4237466,0.0,0.0,2528.8359375,6070.10546875
1780042514.4243124,1.0,0.25,2528.8359375,6070.10546875
1780042515.4264472,80.9,20.225,2534.2109375,6070.10546875
1780042516.4278219,49.0,12.25,2533.45703125,6070.10546875
1780042517.4288592,1.0,0.25,2533.45703125,6070.10546875
1780042518.4304712,0.0,0.0,2533.45703125,6070.10546875
1780042519.4319682,0.0,0.0,2533.45703125,6070.10546875
1780042520.434644,71.9,17.975,2534.0234375,6070.10546875
1780042521.4354348,86.0,21.5,2535.5546875,6070.10546875
1780042522.436383,1.0,0.25,2535.5546875,6070.10546875
1780042523.4394114,0.0,0.0,2535.5546875,6070.10546875
1780042524.4462235,1.0,0.25,2535.5546875,6070.10546875
1780042525.446915,78.0,19.5,2536.55859375,6070.10546875
1780042526.4506352,59.9,14.975,2537.46875,6070.10546875
1780042527.4533546,0.0,0.0,2537.46875,6070.10546875
1780042528.4547594,0.0,0.0,2537.46875,6070.10546875
1780042529.4565115,1.0,0.25,2537.46875,6070.10546875
1780042530.4601243,71.9,17.975,2537.81640625,6070.10546875
1780042531.46234,211.9,52.975,2539.078125,6070.10546875
1780042532.464608,51.9,12.975,2539.08984375,6070.10546875
