timestamp,batchId,totalRows,normalRows,anomalyRows,latencyMs,inputRowsPerSecond,processedRowsPerSecond
2026-05-29T08:14:20.279495048,0,0,0,0,544,0.00,0.00
2026-05-29T08:14:32.018553409,1,919,649,270,1856,183.80,495.15
2026-05-29T08:14:36.047812657,2,2273,1623,650,914,454.60,2486.87
2026-05-29T08:14:40.924808677,3,2375,1706,669,806,475.00,2946.65
2026-05-29T08:14:45.875883116,4,2540,1811,729,735,508.00,3455.78
2026-05-29T08:14:50.794265784,5,2462,1805,657,683,492.40,3604.69
2026-05-29T08:14:55.721480875,6,2566,1853,713,602,513.20,4262.46
2026-05-29T08:15:00.752989262,7,2586,1856,730,628,517.20,4117.83
2026-05-29T08:15:05.880872200,8,2680,1893,787,775,536.00,3458.06
2026-05-29T08:15:10.757118147,9,2689,1917,772,659,537.80,4080.42
2026-05-29T08:15:15.640867682,10,2474,1759,715,543,494.80,4556.17
2026-05-29T08:15:20.784380704,11,2551,1833,718,682,510.20,3740.47
2026-05-29T08:15:25.707578350,12,2411,1726,685,594,482.20,4058.92
2026-05-29T08:15:31.647653185,13,2374,1706,668,1257,474.80,1888.62
2026-05-29T08:15:36.095498920,14,2153,1563,590,877,430.60,2454.96
2026-05-29T08:15:41.174601522,15,2162,1516,646,952,432.40,2271.01
2026-05-29T08:15:46.048076109,16,2190,1583,607,811,438.00,2700.37
2026-05-29T08:15:51.138101748,17,2363,1716,647,973,472.60,2428.57
2026-05-29T08:15:56.499688918,18,2131,1520,611,1182,426.20,1802.88
2026-05-29T08:16:01.197213963,19,2065,1468,597,957,413.00,2157.78
2026-05-29T08:16:06.081818257,20,2239,1631,608,863,447.80,2594.44
2026-05-29T08:16:11.098889935,21,2292,1635,657,931,458.40,2461.87
2026-05-29T08:16:16.399728476,22,1505,1080,425,1294,301.00,1163.06
