timestamp,process_cpu_percent,system_relative_cpu,ram_rss_mb,ram_vms_mb
1778598147.1958382,37.0,9.25,4609.15234375,8141.421875
1778598148.1994824,0.0,0.0,4609.15234375,8141.421875
1778598149.2017372,1.0,0.25,4604.21875,8141.421875
1778598150.204396,40.9,10.225,4604.9921875,8141.421875
1778598151.2069237,256.6,64.15,4614.0390625,8141.421875
1778598152.2083483,1.0,0.25,4614.1015625,8141.421875
1778598153.2095726,0.0,0.0,4614.1015625,8141.421875
1778598154.2107527,1.0,0.25,4609.046875,8141.421875
1778598155.214701,46.9,11.725,4609.9296875,8141.421875
1778598156.217185,255.8,63.95,4618.484375,8191.421875
1778598157.2178037,18.0,4.5,4618.61328125,8191.421875
1778598158.218732,0.0,0.0,4618.61328125,8191.421875
1778598159.2255542,0.0,0.0,4618.61328125,8191.421875
1778598160.227741,49.9,12.475,4618.828125,8191.421875
1778598161.2314336,194.5,48.625,4619.5234375,8191.421875
1778598162.2321153,0.0,0.0,4619.5234375,8191.421875
1778598163.233325,0.0,0.0,4619.5234375,8191.421875
1778598164.2365289,2.0,0.5,4619.5234375,8191.421875
1778598165.2388303,48.0,12.0,4619.9140625,8191.421875
1778598166.241878,137.8,34.45,4621.05078125,8191.421875
1778598167.2430646,1.0,0.25,4621.05078125,8191.421875
1778598168.2442713,0.0,0.0,4621.05078125,8191.421875
1778598169.2457962,0.0,0.0,4621.05078125,8191.421875
1778598170.2469509,52.0,13.0,4621.5546875,8191.421875
1778598171.2516165,141.8,35.45,4623.42578125,8191.421875
1778598172.2571747,1.0,0.25,4623.42578125,8191.421875
1778598173.2604878,0.0,0.0,4623.42578125,8191.421875
1778598174.2644298,0.0,0.0,4623.42578125,8191.421875
1778598175.2658253,53.0,13.25,4624.12890625,8191.421875
1778598176.2717705,149.4,37.35,4625.6171875,8191.421875
1778598177.274175,1.0,0.25,4625.6171875,8191.421875
1778598178.2775877,0.0,0.0,4625.6171875,8191.421875
1778598179.2857554,0.0,0.0,4625.6171875,8191.421875
1778598180.2873487,56.9,14.225,4625.8671875,8191.421875
1778598181.2954643,120.2,30.05,4625.4609375,8191.421875
1778598182.2958467,0.0,0.0,4625.4609375,8191.421875
1778598183.2974305,1.0,0.25,4625.00390625,8191.421875
1778598184.2995315,0.0,0.0,4624.73828125,8191.421875
1778598185.3007812,58.0,14.5,4624.92578125,8191.421875
1778598186.30703,100.4,25.1,4625.4296875,8191.421875
1778598187.3091118,0.0,0.0,4625.4296875,8191.421875
1778598188.3113348,0.0,0.0,4625.4296875,8191.421875
1778598189.3133755,1.0,0.25,4625.4296875,8191.421875
1778598190.3176692,59.8,14.95,4625.6875,8191.421875
1778598191.3207493,112.9,28.225,4626.31640625,8191.421875
1778598192.3237088,1.0,0.25,4626.31640625,8191.421875
1778598193.325112,0.0,0.0,4626.31640625,8191.421875
1778598194.3274255,0.0,0.0,4626.31640625,8191.421875
1778598195.3303924,68.0,17.0,4627.45703125,8191.421875
1778598196.3326633,96.9,24.225,4628.22265625,8191.421875
1778598197.3344367,0.0,0.0,4628.22265625,8191.421875
1778598198.3355963,0.0,0.0,4628.22265625,8191.421875
1778598199.3360424,1.0,0.25,4628.22265625,8191.421875
1778598200.3370008,74.0,18.5,4632.39453125,8191.421875
1778598201.340766,97.7,24.425,4632.7109375,8191.421875
1778598202.3438182,1.0,0.25,4632.7109375,8191.421875
1778598203.346156,1.0,0.25,4631.9921875,8191.421875
1778598204.3478527,0.0,0.0,4631.9921875,8191.421875
1778598205.3512213,70.8,17.7,4634.08203125,8191.421875
1778598206.3574395,106.6,26.65,4634.77734375,8191.421875
1778598207.3586793,1.0,0.25,4634.77734375,8191.421875
1778598208.362026,0.0,0.0,4634.77734375,8191.421875
1778598209.3649845,0.0,0.0,4634.77734375,8191.421875
1778598210.3659806,65.0,16.25,4635.02734375,8191.421875
1778598211.3667464,71.0,17.75,4635.28125,8191.421875
1778598212.369709,0.0,0.0,4635.28125,8191.421875
1778598213.372385,1.0,0.25,4635.28125,8191.421875
1778598214.3737323,0.0,0.0,4635.28125,8191.421875
1778598215.3750257,68.9,17.225,4635.46875,8191.421875
1778598216.3781612,71.8,17.95,4632.859375,8173.421875
1778598217.3793216,1.0,0.25,4632.859375,8173.421875
1778598218.3817728,1.0,0.25,4632.859375,8173.421875
1778598219.3828578,0.0,0.0,4632.859375,8173.421875
1778598220.3844724,68.9,17.225,4633.171875,8173.421875
1778598221.3881643,56.8,14.2,4633.359375,8173.421875
1778598222.389471,0.0,0.0,4633.359375,8173.421875
1778598223.390421,1.0,0.25,4633.359375,8173.421875
1778598224.3913977,1.0,0.25,4633.42578125,8173.421875
1778598225.3930273,77.9,19.475,4640.4296875,8189.421875
1778598226.3965693,72.8,18.2,4641.05078125,8190.421875
1778598227.400381,0.0,0.0,4641.05078125,8190.421875
1778598228.4010427,2.0,0.5,4641.05078125,8190.421875
1778598229.402057,0.0,0.0,4641.05078125,8190.421875
1778598230.402616,75.0,18.75,4641.7421875,8190.421875
1778598231.404147,37.0,9.25,4641.43359375,8190.421875
1778598232.407403,0.0,0.0,4641.43359375,8190.421875
1778598233.4105835,1.0,0.25,4641.43359375,8190.421875
1778598234.4133384,0.0,0.0,4641.43359375,8190.421875
1778598235.4156463,82.9,20.725,4641.82421875,8190.421875
1778598236.4166956,35.0,8.75,4642.08203125,8190.421875
1778598237.4176238,0.0,0.0,4642.08203125,8190.421875
1778598238.4187694,1.0,0.25,4642.08203125,8190.421875
1778598239.4200509,0.0,0.0,4642.08203125,8190.421875
1778598240.4209552,79.0,19.75,4643.19140625,8190.421875
1778598241.4223883,47.9,11.975,4647.52734375,8190.421875
1778598242.4234316,0.0,0.0,4647.52734375,8190.421875
1778598243.427067,0.0,0.0,4647.52734375,8190.421875
1778598244.4313223,0.0,0.0,4643.1171875,8190.421875
1778598245.4321764,82.0,20.5,4643.93359375,8190.421875
1778598246.4373164,37.9,9.475,4644.5,8190.421875
1778598247.4378211,1.0,0.25,4644.5,8190.421875
1778598248.4414525,0.0,0.0,4644.5,8190.421875
1778598249.4418924,1.0,0.25,4640.21875,8190.421875
1778598250.4426942,83.0,20.75,4641.2421875,8190.421875
1778598251.4444869,41.9,10.475,4641.25390625,8190.421875
1778598252.4481328,1.0,0.25,4641.25390625,8190.421875
1778598253.449034,0.0,0.0,4641.25390625,8190.421875
1778598254.4547548,0.0,0.0,4641.2578125,8190.421875
1778598255.4553163,77.0,19.25,4643.33984375,8190.421875
1778598256.4605222,19.9,4.975,4643.41015625,8190.421875
1778598257.4612818,0.0,0.0,4643.41015625,8190.421875
1778598258.463136,1.0,0.25,4643.41015625,8190.421875
1778598259.4666038,0.0,0.0,4643.41015625,8190.421875
1778598260.4691873,41.9,10.475,4651.28125,8190.421875
1778598261.471572,35.0,8.75,4651.6953125,8190.421875
1778598262.4740815,26.0,6.5,4651.8828125,8190.421875
1778598263.4763923,16.0,4.0,4651.8828125,8190.421875
1778598264.478066,2.0,0.5,4642.23828125,8190.421875
1778598265.479855,1.0,0.25,4642.23828125,8190.421875
1778598266.486814,2.0,0.5,4642.23828125,8190.421875
1778598267.4905982,0.0,0.0,4642.23828125,8190.421875
1778598268.4948444,1.0,0.25,4642.23828125,8190.421875
1778598269.4959211,43.0,10.75,4623.90625,7990.421875
