timestamp,process_cpu_percent,system_relative_cpu,ram_rss_mb,ram_vms_mb
1778605244.1538355,181.8,45.45,4638.26171875,8093.421875
1778605245.156143,25.0,6.25,4638.86328125,8094.421875
1778605246.1569226,241.9,60.475,4642.234375,8099.421875
1778605247.1588843,11.0,2.75,4642.296875,8099.421875
1778605248.1616166,0.0,0.0,4642.296875,8099.421875
1778605249.161936,2.0,0.5,4642.359375,8099.421875
1778605250.1639357,29.0,7.25,4642.8828125,8099.421875
1778605251.171866,247.8,61.95,4645.61328125,8099.421875
1778605252.1767704,116.5,29.125,4648.48828125,8104.421875
1778605253.1779487,0.0,0.0,4640.82421875,8104.421875
1778605254.178908,0.0,0.0,4640.82421875,8104.421875
1778605255.1798518,30.0,7.5,4640.8359375,8104.421875
1778605256.1881473,248.1,62.025,4643.41015625,8104.421875
1778605257.1903453,52.9,13.225,4644.1328125,8109.421875
1778605258.192137,0.0,0.0,4644.1328125,8109.421875
1778605259.193745,2.0,0.5,4644.1328125,8109.421875
1778605260.1965854,32.9,8.225,4653.21484375,8109.421875
1778605261.1984897,238.9,59.725,4654.4140625,8109.421875
1778605262.199922,70.9,17.725,4655.75,8114.421875
1778605263.2033072,1.0,0.25,4655.75,8114.421875
1778605264.2053666,0.0,0.0,4655.75,8114.421875
1778605265.2064502,33.0,8.25,4656.00390625,8114.421875
1778605266.207438,250.9,62.725,4657.38671875,8114.421875
1778605267.2117171,62.9,15.725,4658.3046875,8119.421875
1778605268.214164,0.0,0.0,4658.3046875,8119.421875
1778605269.218057,1.0,0.25,4658.3046875,8119.421875
1778605270.2533386,42.6,10.65,4658.6875,8119.421875
1778605271.2607305,225.8,56.45,4659.38671875,8119.421875
1778605272.261867,54.0,13.5,4660.10546875,8124.421875
1778605273.2637577,0.0,0.0,4660.10546875,8124.421875
1778605274.2691643,1.0,0.25,4660.10546875,8124.421875
1778605275.2767303,43.7,10.925,4660.29296875,8124.421875
1778605276.2773232,222.0,55.5,4668.15234375,8124.421875
1778605277.2785637,7.0,1.75,4668.62109375,8129.421875
1778605278.2878423,1.0,0.25,4668.62109375,8129.421875
1778605279.2888968,1.0,0.25,4668.62109375,8129.421875
1778605280.291691,46.9,11.725,4668.94140625,8129.421875
1778605281.2941697,198.6,49.65,4670.1015625,8134.421875
1778605282.3006938,0.0,0.0,4670.1015625,8134.421875
1778605283.303852,1.0,0.25,4660.93359375,8134.421875
1778605284.3059154,0.0,0.0,4660.93359375,8134.421875
1778605285.3066814,54.0,13.5,4661.7421875,8134.421875
1778605286.3072562,146.0,36.5,4668.41015625,8189.421875
1778605287.3082292,1.0,0.25,4668.41015625,8189.421875
1778605288.3102362,0.0,0.0,4668.41015625,8189.421875
1778605289.3127863,1.0,0.25,4668.41015625,8189.421875
1778605290.3154538,59.0,14.75,4668.75,8189.421875
1778605291.3172953,79.9,19.975,4669.578125,8189.421875
1778605292.3249066,0.0,0.0,4669.578125,8189.421875
1778605293.329959,1.0,0.25,4669.578125,8189.421875
1778605294.33142,0.0,0.0,4669.578125,8189.421875
1778605295.3320227,66.0,16.5,4671.890625,8189.421875
1778605296.3328252,87.0,21.75,4672.90625,8189.421875
1778605297.3334308,1.0,0.25,4672.90625,8189.421875
1778605298.340409,0.0,0.0,4672.90625,8189.421875
1778605299.3411582,2.0,0.5,4672.90625,8189.421875
1778605300.3443317,64.8,16.2,4673.51953125,8189.421875
1778605301.34493,76.0,19.0,4673.8125,8189.55078125
1778605302.3463893,0.0,0.0,4673.8125,8189.55078125
1778605303.348223,1.0,0.25,4673.8125,8189.55078125
1778605304.3497472,0.0,0.0,4672.90234375,8189.55078125
1778605305.3518515,67.9,16.975,4674.63671875,8189.55078125
1778605306.3556037,61.8,15.45,4675.30859375,8189.55078125
1778605307.3575242,1.0,0.25,4675.30859375,8189.55078125
1778605308.3580544,0.0,0.0,4675.30859375,8189.55078125
1778605309.3595147,1.0,0.25,4675.30859375,8189.55078125
1778605310.361257,64.9,16.225,4677.5234375,8189.55078125
1778605311.3621163,42.0,10.5,4678.109375,8189.55078125
1778605312.363318,1.0,0.25,4678.04296875,8189.55078125
1778605313.3645055,1.0,0.25,4678.04296875,8189.55078125
1778605314.370032,0.0,0.0,4678.04296875,8189.55078125
1778605315.370931,68.0,17.0,4678.234375,8189.55078125
1778605316.3745499,82.7,20.675,4679.75390625,8189.55078125
1778605317.376947,0.0,0.0,4679.6875,8189.55078125
1778605318.3775887,0.0,0.0,4679.6875,8189.55078125
1778605319.381523,1.0,0.25,4679.6875,8189.55078125
1778605320.3831198,64.9,16.225,4679.9375,8189.55078125
1778605321.3847964,34.0,8.5,4680.2578125,8189.55078125
1778605322.3963392,0.0,0.0,4680.2578125,8189.55078125
1778605323.397473,0.0,0.0,4680.2578125,8189.55078125
1778605324.3985598,0.0,0.0,4680.2578125,8189.55078125
1778605325.4001317,66.9,16.725,4681.13671875,8189.55078125
1778605326.404317,40.9,10.225,4681.328125,8189.55078125
1778605327.404863,0.0,0.0,4681.328125,8189.55078125
1778605328.4112525,0.0,0.0,4681.328125,8189.55078125
1778605329.4155388,1.0,0.25,4681.328125,8189.55078125
1778605330.4164748,73.0,18.25,4682.01953125,8189.55078125
1778605331.4169357,59.0,14.75,4682.90625,8189.55078125
1778605332.41778,0.0,0.0,4682.90625,8189.55078125
1778605333.4187021,0.0,0.0,4682.90625,8189.55078125
1778605334.4191265,1.0,0.25,4682.90625,8189.55078125
1778605335.4199207,79.0,19.75,4687.0546875,8189.55078125
1778605336.421479,41.0,10.25,4687.4375,8189.55078125
1778605337.423782,1.0,0.25,4687.4375,8189.55078125
1778605338.425133,1.0,0.25,4680.09375,8189.55078125
1778605339.4256694,0.0,0.0,4680.09375,8189.55078125
1778605340.4263272,60.0,15.0,4680.47265625,8189.55078125
1778605341.4312234,45.8,11.45,4680.78515625,8189.55078125
1778605342.4330835,0.0,0.0,4680.78515625,8189.55078125
1778605343.433847,1.0,0.25,4680.78515625,8189.55078125
1778605344.4352329,0.0,0.0,4680.78515625,8189.55078125
1778605345.4362745,28.0,7.0,4681.15625,8189.55078125
1778605346.4387312,71.0,17.75,4679.4140625,8173.55078125
1778605347.439595,0.0,0.0,4679.4140625,8173.55078125
1778605348.4414585,2.0,0.5,4679.4140625,8173.55078125
1778605349.4460585,1.0,0.25,4679.4140625,8173.55078125
1778605350.447066,1.0,0.25,4679.4140625,8173.55078125
1778605351.448051,1.0,0.25,4679.34765625,8173.55078125
1778605352.4513793,0.0,0.0,4679.34765625,8173.55078125
1778605353.4540768,1.0,0.25,4679.34765625,8173.55078125
1778605354.4590173,1.0,0.25,4679.34765625,8173.55078125
1778605355.4605901,0.0,0.0,4679.34765625,8173.55078125
1778605356.4642298,1.0,0.25,4679.28125,8173.55078125
1778605357.4661896,0.0,0.0,4679.28125,8173.55078125
1778605358.4669914,2.0,0.5,4679.28125,8173.55078125
1778605359.4687517,1.0,0.25,4679.28125,8173.55078125
1778605360.4712796,2.0,0.5,4676.0078125,8139.55078125
1778605361.4727604,1.0,0.25,4675.91796875,8138.55078125
1778605362.4738173,1.0,0.25,4675.91796875,8138.55078125
1778605363.475336,1.0,0.25,4675.91796875,8138.55078125
1778605364.476684,1.0,0.25,4675.91796875,8138.55078125
1778605365.478231,29.0,7.25,4663.015625,7989.55078125
