timestamp,process_cpu_percent,system_relative_cpu,ram_rss_mb,ram_vms_mb
1780047356.1208322,257.7,64.425,4627.0703125,8160.42578125
1780047357.1213233,119.0,29.75,4628.44140625,8163.42578125
1780047358.1336896,1.0,0.25,4628.44140625,8163.42578125
1780047359.1554284,0.0,0.0,4628.44140625,8163.42578125
1780047360.1561909,26.0,6.5,4628.85546875,8163.42578125
1780047361.1569057,219.9,54.975,4633.95703125,8188.42578125
1780047362.1805642,31.3,7.825,4634.609375,8191.42578125
1780047363.1833825,0.0,0.0,4634.609375,8191.42578125
1780047364.2199976,0.0,0.0,4634.609375,8191.42578125
1780047365.223301,42.9,10.725,4635.56640625,8191.42578125
1780047366.227349,218.2,54.55,4637.01953125,8191.42578125
1780047367.228108,45.0,11.25,4637.16015625,8191.42578125
1780047368.2323673,0.0,0.0,4637.16015625,8191.42578125
1780047369.2517877,0.0,0.0,4637.16015625,8191.42578125
1780047370.2563608,50.0,12.5,4637.3515625,8191.42578125
1780047371.2571447,205.9,51.475,4638.91796875,8191.42578125
1780047372.2580738,0.0,0.0,4638.91796875,8191.42578125
1780047373.2661862,1.0,0.25,4638.91796875,8191.42578125
1780047374.2692266,0.0,0.0,4638.91796875,8191.42578125
1780047375.2701771,50.0,12.5,4639.109375,8191.42578125
1780047376.2726097,191.8,47.95,4640.6875,8191.42578125
1780047377.2731423,0.0,0.0,4640.6875,8191.42578125
1780047378.3085,0.0,0.0,4640.6875,8191.42578125
1780047379.3103886,0.0,0.0,4640.6875,8191.42578125
1780047380.3133078,57.9,14.475,4641.3125,8191.42578125
1780047381.3138077,204.9,51.225,4642.71484375,8191.42578125
1780047382.3150783,1.0,0.25,4642.71875,8191.42578125
1780047383.3157187,0.0,0.0,4642.71875,8191.42578125
1780047384.3170307,1.0,0.25,4642.71875,8191.42578125
1780047385.325022,62.6,15.65,4642.97265625,8191.42578125
1780047386.326309,178.9,44.725,4643.65234375,8191.42578125
1780047387.328165,0.0,0.0,4643.65234375,8191.42578125
1780047388.3296235,0.0,0.0,4643.65234375,8191.42578125
1780047389.330381,1.0,0.25,4643.65234375,8191.42578125
1780047390.3390067,61.9,15.475,4649.2109375,8191.42578125
1780047391.341784,143.7,35.925,4649.87890625,8191.42578125
1780047392.3438175,0.0,0.0,4649.87890625,8191.42578125
1780047393.3522964,1.0,0.25,4649.87890625,8191.42578125
1780047394.354646,1.0,0.25,4649.87890625,8191.42578125
1780047395.3554451,70.0,17.5,4650.328125,8191.42578125
1780047396.3563745,92.0,23.0,4650.40234375,8191.42578125
1780047397.3631666,1.0,0.25,4650.40234375,8191.42578125
1780047398.3642294,0.0,0.0,4649.75,8191.42578125
1780047399.365351,0.0,0.0,4649.75,8191.42578125
1780047400.366378,72.9,18.225,4644.23046875,8191.42578125
1780047401.3864434,113.8,28.45,4645.6328125,8191.42578125
1780047402.4089117,0.0,0.0,4645.6328125,8191.42578125
1780047403.4095635,0.0,0.0,4645.6328125,8191.42578125
1780047404.4103374,0.0,0.0,4645.6328125,8191.42578125
1780047405.4145868,82.7,20.675,4646.265625,8191.42578125
1780047406.4159904,133.9,33.475,4648.62890625,8191.42578125
1780047407.4169033,1.0,0.25,4648.62890625,8191.42578125
1780047408.417769,0.0,0.0,4648.62890625,8191.42578125
1780047409.4265747,0.0,0.0,4648.62890625,8191.42578125
1780047410.4301138,79.8,19.95,4649.51171875,8191.42578125
1780047411.4312057,166.9,41.725,4650.71875,8191.42578125
1780047412.432204,0.0,0.0,4650.71875,8191.42578125
1780047413.447245,0.0,0.0,4650.71875,8191.42578125
1780047414.4492116,1.0,0.25,4650.71875,8191.42578125
1780047415.4502685,72.0,18.0,4650.38671875,8191.42578125
1780047416.451642,88.9,22.225,4650.9765625,8191.42578125
1780047417.4594073,0.0,0.0,4650.9765625,8191.42578125
1780047418.4600933,0.0,0.0,4650.9765625,8191.42578125
1780047419.4630694,0.0,0.0,4650.9765625,8191.42578125
1780047420.4639015,84.0,21.0,4651.23046875,8191.42578125
1780047421.467407,83.8,20.95,4651.86328125,8191.42578125
1780047422.4767447,2.0,0.5,4651.86328125,8191.42578125
1780047423.4776788,0.0,0.0,4651.86328125,8191.42578125
1780047424.4963474,0.0,0.0,4651.86328125,8191.42578125
1780047425.4973848,83.0,20.75,4652.13671875,8191.42578125
1780047426.499851,123.8,30.95,4662.953125,8191.42578125
1780047427.5202715,0.0,0.0,4662.953125,8191.42578125
1780047428.5208259,0.0,0.0,4662.953125,8191.42578125
1780047429.5326953,0.0,0.0,4662.953125,8191.42578125
1780047430.5336573,83.9,20.975,4650.265625,8191.42578125
1780047431.5399408,36.9,9.225,4650.84765625,8191.42578125
1780047432.5415637,0.0,0.0,4650.84765625,8191.42578125
1780047433.5434754,0.0,0.0,4650.84765625,8191.42578125
1780047434.5488427,0.0,0.0,4650.84765625,8191.42578125
1780047435.5616596,70.2,17.55,4651.85546875,8191.42578125
