timestamp,batchId,totalRows,normalRows,anomalyRows,latencyMs,throughput
2026-05-12T15:44:38.585152092,201,59,45,14,5286,11.161558834657587
2026-05-12T15:45:26.838366988,202,830,588,242,1675,495.5223880597015
2026-05-12T15:45:31.271830435,203,998,721,277,1122,889.4830659536542
2026-05-12T15:45:36.160176583,204,998,704,294,1023,975.5620723362658
2026-05-12T15:45:40.909113417,205,998,720,278,775,1287.741935483871
2026-05-12T15:45:46.150503204,206,998,733,265,1032,967.0542635658915
2026-05-12T15:45:51.008085588,207,999,692,307,884,1130.0904977375565
2026-05-12T15:45:55.684124626,208,998,710,288,567,1760.1410934744267
2026-05-12T15:46:00.965717448,209,998,719,279,861,1159.117305458769
2026-05-12T15:46:05.659755814,210,998,721,277,560,1782.142857142857
2026-05-12T15:46:10.674988476,211,999,737,262,557,1793.5368043087972
2026-05-12T15:46:16.088631157,212,999,733,266,929,1075.3498385360604
2026-05-12T15:46:20.853472323,213,998,728,270,729,1368.9986282578875
2026-05-12T15:46:25.708068878,214,999,716,283,572,1746.5034965034965
2026-05-12T15:46:30.685024277,215,999,716,283,580,1722.4137931034484
2026-05-12T15:46:35.864788657,216,998,702,296,728,1370.8791208791208
2026-05-12T15:46:40.662261320,217,998,717,281,527,1893.7381404174573
2026-05-12T15:46:46.054376990,218,998,730,268,905,1102.7624309392265
2026-05-12T15:46:50.734123772,219,998,712,286,624,1599.3589743589744
2026-05-12T15:46:55.796934395,220,999,678,321,630,1585.7142857142858
2026-05-12T15:47:00.730807609,221,998,722,276,590,1691.5254237288136
2026-05-12T15:47:05.774741413,222,999,712,287,612,1632.3529411764705
2026-05-12T15:47:10.629711896,223,999,699,300,502,1990.0398406374502
2026-05-12T15:47:15.782215062,224,999,719,280,684,1460.5263157894738
2026-05-12T15:47:20.811724361,225,998,721,277,644,1549.6894409937888
2026-05-12T15:47:25.783885018,226,998,706,292,648,1540.1234567901236
2026-05-12T15:47:30.502477231,227,999,709,290,411,2430.6569343065694
2026-05-12T15:47:35.693681573,228,999,724,275,573,1743.455497382199
2026-05-12T15:47:40.680908392,229,999,710,289,528,1892.0454545454545
2026-05-12T15:47:45.591554722,230,999,728,271,468,2134.6153846153848
2026-05-12T15:47:50.639155905,231,999,717,282,538,1856.8773234200744
2026-05-12T15:47:55.540342457,232,998,710,288,447,2232.662192393736
2026-05-12T15:48:00.507668036,233,999,722,277,411,2430.6569343065694
2026-05-12T15:48:05.559719098,234,998,736,262,465,2146.2365591397847
2026-05-12T16:08:16.925121476,235,2999,2099,900,2598,599.80,1154.35
2026-05-12T16:08:18.269939752,236,2998,2191,807,1039,599.60,2885.47
2026-05-12T16:08:20.803178207,237,2999,2153,846,634,599.80,4730.28
2026-05-12T16:08:26.493158229,238,2998,2144,854,847,599.60,3539.55
2026-05-12T16:08:30.790666869,239,2998,2158,840,673,599.60,4454.68
2026-05-12T16:08:35.855679828,240,2999,2139,860,736,599.80,4074.73
2026-05-12T16:08:40.877681754,241,2999,2156,843,745,599.80,4025.50
2026-05-12T16:08:46.100643806,242,2999,2133,866,938,599.80,3197.23
2026-05-12T16:08:50.821117297,243,2998,2173,825,689,599.60,4351.23
2026-05-12T16:08:55.814174169,244,2701,1972,729,683,540.20,3954.61
2026-05-12T16:09:00.797812292,245,1974,1398,576,659,394.80,2995.45
2026-05-12T16:09:05.699196842,246,2140,1548,592,571,428.00,3747.81
2026-05-12T16:09:10.620456297,247,2139,1496,643,511,427.80,4185.91
2026-05-12T16:09:15.732689,248,2167,1552,615,615,433.40,3523.58
2026-05-12T16:09:20.906821586,249,2004,1422,582,689,400.80,2908.56
2026-05-12T16:09:26.133052316,250,1986,1418,568,922,397.20,2154.01
2026-05-12T16:09:30.892195354,251,2103,1512,591,728,420.60,2888.74
2026-05-12T16:09:35.592992601,252,1902,1369,533,481,380.40,3954.26
2026-05-12T16:09:40.546539671,253,2362,1698,664,446,472.40,5295.96
2026-05-12T16:09:45.784718210,254,2234,1600,634,664,446.80,3364.46
2026-05-12T16:09:50.966333767,255,1988,1397,591,792,397.60,2510.10
2026-05-12T16:09:55.842481391,256,1964,1427,537,711,392.80,2762.31
2026-05-12T16:10:00.943546158,257,1977,1448,529,725,395.40,2726.90
2026-05-12T16:10:05.684686768,258,1985,1421,564,559,397.00,3550.98
2026-05-12T16:10:10.781884061,259,2050,1445,605,553,410.00,3707.05
2026-05-12T16:10:15.514468195,260,2230,1620,610,418,446.00,5334.93
2026-05-12T16:10:20.536197386,261,2264,1624,640,444,452.80,5099.10
2026-05-12T16:10:25.934992759,262,2062,1473,589,851,412.40,2423.03
2026-05-12T16:14:47.922138985,263,108,79,29,2196,21.60,49.18
2026-05-12T16:14:51.090484037,264,1934,1369,565,918,386.80,2106.75
2026-05-12T16:14:55.846031780,265,2129,1540,589,704,425.80,3024.15
2026-05-12T16:15:00.835208354,266,2014,1441,573,691,402.80,2914.62
2026-05-12T16:15:05.726467749,267,2143,1520,623,611,428.60,3507.36
2026-05-12T16:15:10.799777520,268,2071,1523,548,692,414.20,2992.77
2026-05-12T16:15:15.704745908,269,2265,1642,623,586,453.00,3865.19
2026-05-12T16:15:20.893577517,270,2153,1535,618,735,430.60,2929.25
2026-05-12T16:15:26.087265040,271,1999,1450,549,890,399.80,2246.07
