timestamp,batchId,totalRows,normalRows,anomalyRows,latencyMs,inputRowsPerSecond,processedRowsPerSecond
2026-05-12T17:23:32.844740134,489,3692,2646,1046,2391,738.40,1544.12
2026-05-12T17:23:36.297217697,490,6326,4556,1770,1131,1265.20,5593.28
2026-05-12T17:23:41.226283689,491,8123,5830,2293,1082,1624.60,7507.39
2026-05-12T17:23:46.075154821,492,5770,4093,1677,922,1154.00,6258.13
2026-05-12T17:23:50.776791634,493,4977,3574,1403,663,995.40,7506.79
2026-05-12T17:23:56.094212988,494,8863,6349,2514,991,1772.60,8943.49
2026-05-12T17:24:00.781785133,495,4967,3580,1387,667,993.40,7446.78
2026-05-12T17:24:05.858789164,496,6208,4442,1766,750,1241.60,8277.33
2026-05-12T17:24:10.797529092,497,6039,4371,1668,677,1207.80,8920.24
2026-05-12T17:24:15.755272663,498,6533,4681,1852,656,1306.60,9958.84
2026-05-12T17:24:20.831662362,499,6985,4989,1996,717,1397.00,9741.98
2026-05-12T17:24:25.681414953,500,4995,3597,1398,570,999.00,8763.16
2026-05-12T17:24:30.698166896,501,6018,4340,1678,600,1203.60,10030.00
2026-05-12T17:24:35.793774848,502,7817,5655,2162,692,1563.40,11296.24
2026-05-12T17:24:40.671082611,503,5117,3642,1475,553,1023.40,9253.16
2026-05-12T17:24:45.945857282,504,10065,7192,2873,852,2013.00,11813.38
2026-05-12T17:24:50.801015376,505,7246,5192,2054,691,1449.20,10486.25
2026-05-12T17:24:55.673341176,506,7312,5273,2039,582,1462.40,12563.57
2026-05-12T17:25:00.691702238,507,6348,4572,1776,593,1269.60,10704.89
2026-05-12T17:25:05.619745014,508,5758,4117,1641,529,1151.60,10884.69
2026-05-12T17:25:10.646337827,509,6586,4727,1859,557,1317.20,11824.06
2026-05-12T17:25:15.626887095,510,7016,5035,1981,535,1403.20,13114.02
2026-05-12T17:25:20.811009149,511,8264,6009,2255,720,1652.80,11477.78
2026-05-12T17:25:25.761214337,512,8084,5755,2329,671,1616.80,12047.69
2026-05-12T17:25:30.651231337,513,5462,3901,1561,560,1092.40,9753.57
2026-05-12T17:25:35.663363075,514,7154,5092,2062,560,1430.80,12775.00
2026-05-12T17:25:40.673850726,515,7598,5455,2143,582,1519.60,13054.98
2026-05-12T17:25:45.571544821,516,6293,4493,1800,486,1258.60,12948.56
2026-05-12T17:25:50.739957587,517,8194,5923,2271,647,1638.80,12664.61
2026-05-12T17:25:55.600232156,518,6580,4691,1889,504,1316.00,13055.56
2026-05-12T17:26:00.728944075,519,8959,6402,2557,635,1791.80,14108.66
2026-05-12T17:26:05.550301730,520,6299,4484,1815,466,1259.80,13517.17
2026-05-12T17:26:10.701652459,521,7425,5362,2063,619,1485.00,11995.15
2026-05-12T17:26:15.665648073,522,7963,5738,2225,575,1592.60,13848.70
2026-05-12T17:26:20.641772816,523,6131,4415,1716,558,1226.20,10987.46
2026-05-12T17:26:25.605748700,524,6865,4892,1973,519,1373.00,13227.36
2026-05-12T17:26:30.566988863,525,6424,4644,1780,474,1284.80,13552.74
2026-05-12T17:26:35.750248323,526,9917,7127,2790,664,1983.40,14935.24
2026-05-12T17:26:40.725851927,527,7508,5422,2086,638,1501.60,11768.03
2026-05-12T17:26:45.575178374,528,7299,5182,2117,488,1459.80,14956.97
2026-05-12T17:26:50.774231622,529,8607,6156,2451,694,1721.40,12402.02
2026-05-12T17:26:55.737310291,530,6178,4439,1739,642,1235.60,9623.05
2026-05-12T17:27:00.820978904,531,7524,5409,2115,721,1504.80,10435.51
2026-05-12T17:27:06.013131249,532,2511,1809,702,924,502.20,2717.53
