timestamp,batchId,totalRows,normalRows,anomalyRows,latencyMs,inputRowsPerSecond,processedRowsPerSecond
2026-05-29T09:30:38.633541443,68,2094,1487,607,2991,418.80,700.10
2026-05-29T09:30:41.762873734,69,7576,5445,2131,1531,1515.20,4948.40
2026-05-29T09:30:46.072577358,70,4696,3390,1306,918,939.20,5115.47
2026-05-29T09:30:51.250675462,71,6388,4559,1829,1078,1277.60,5925.79
2026-05-29T09:30:56.179469682,72,8147,5827,2320,1014,1629.40,8034.52
2026-05-29T09:31:00.966777050,73,6937,4946,1991,853,1387.40,8132.47
2026-05-29T09:31:06.174769999,74,8149,5864,2285,1059,1629.80,7695.00
2026-05-29T09:31:10.835786966,75,6357,4587,1770,719,1271.40,8841.45
2026-05-29T09:31:15.963293265,76,5320,3829,1491,833,1064.00,6386.55
2026-05-29T09:31:20.804712710,77,6282,4500,1782,687,1256.40,9144.10
2026-05-29T09:31:25.901501163,78,7897,5687,2210,781,1579.40,10111.40
2026-05-29T09:31:31.102083561,79,10651,7663,2988,1000,2130.20,10651.00
2026-05-29T09:31:35.667535699,80,4483,3222,1261,553,896.60,8106.69
2026-05-29T09:31:40.713686484,81,4987,3596,1391,600,997.40,8311.67
2026-05-29T09:31:46.135151283,82,11773,8403,3370,1011,2354.60,11644.91
2026-05-29T09:31:50.759908061,83,6730,4829,1901,648,1346.00,10385.80
2026-05-29T09:31:56.312889454,84,14076,10133,3943,1195,2815.20,11779.08
2026-05-29T09:32:01.041542444,85,12942,9268,3674,921,2588.40,14052.12
2026-05-29T09:32:05.804394121,86,7373,5291,2082,695,1474.60,10608.63
2026-05-29T09:32:10.804587165,87,6748,4924,1824,692,1349.60,9751.45
2026-05-29T09:32:15.746917770,88,7395,5240,2155,639,1479.00,11572.77
2026-05-29T09:32:20.832373996,89,6330,4549,1781,720,1266.00,8791.67
2026-05-29T09:32:25.686389695,90,5653,4004,1649,582,1130.60,9713.06
2026-05-29T09:32:30.879559174,91,10443,7498,2945,759,2088.60,13758.89
2026-05-29T09:32:35.995858212,92,11500,8272,3228,895,2300.00,12849.16
2026-05-29T09:32:40.749625042,93,8571,6118,2453,651,1714.20,13165.90
2026-05-29T09:32:45.717760449,94,7917,5650,2267,622,1583.40,12728.30
2026-05-29T09:32:51.174375728,95,16108,11557,4551,1088,3221.60,14805.15
2026-05-29T09:32:55.751519929,96,9021,6462,2559,663,1804.20,13606.33
2026-05-29T09:33:01.108794388,97,13850,9978,3872,1007,2770.00,13753.72
2026-05-29T09:33:05.825575327,98,9767,7026,2741,702,1953.40,13913.11
2026-05-29T09:33:10.849228588,99,9371,6755,2616,732,1874.20,12801.91
2026-05-29T09:33:15.972261394,100,13305,9497,3808,867,2661.00,15346.02
2026-05-29T09:33:20.913436178,101,11931,8557,3374,810,2386.20,14729.63
2026-05-29T09:33:25.723312467,102,5790,4183,1607,612,1158.00,9460.78
2026-05-29T09:33:31.054742645,103,3442,2457,985,952,688.40,3615.55
