timestamp,batchId,totalRows,normalRows,anomalyRows,latencyMs,inputRowsPerSecond,processedRowsPerSecond
2026-05-29T10:04:51.561270862,304,2185,1561,624,2939,728.33,743.45
2026-05-29T10:04:52.892609020,305,4196,3005,1191,1021,1398.67,4109.70
2026-05-29T10:04:54.936690745,306,2387,1709,678,757,795.67,3153.24
2026-05-29T10:04:59.049724063,307,10612,7618,2994,1915,3537.33,5541.51
2026-05-29T10:05:00.826239476,308,2648,1883,765,700,882.67,3782.86
2026-05-29T10:05:03.899803841,309,4953,3550,1403,768,1651.00,6449.22
2026-05-29T10:05:07.080555783,310,4640,3335,1305,953,1546.67,4868.84
2026-05-29T10:05:09.744220328,311,3323,2353,970,585,1107.67,5680.34
2026-05-29T10:05:12.701708171,312,3137,2285,852,554,1045.67,5662.45
2026-05-29T10:05:15.670845205,313,4313,3101,1212,546,1437.67,7899.27
2026-05-29T10:05:18.821393812,314,5347,3832,1515,681,1782.33,7851.69
2026-05-29T10:05:21.827087982,315,4064,2904,1160,714,1354.67,5691.88
2026-05-29T10:05:24.760814026,316,4690,3391,1299,638,1563.33,7351.10
2026-05-29T10:05:27.806525813,317,7523,5380,2143,689,2507.67,10918.72
2026-05-29T10:05:30.939948787,318,7602,5492,2110,839,2534.00,9060.79
2026-05-29T10:05:33.681395101,319,3123,2245,878,539,1041.00,5794.06
2026-05-29T10:05:36.622309891,320,4144,2981,1163,525,1381.33,7893.33
2026-05-29T10:05:39.576808053,321,3133,2261,872,472,1044.33,6637.71
2026-05-29T10:05:42.848514155,322,7217,5209,2008,730,2405.67,9886.30
2026-05-29T10:05:45.681257211,323,3530,2490,1040,583,1176.67,6054.89
2026-05-29T10:05:48.677628972,324,3837,2721,1116,550,1279.00,6976.36
2026-05-29T10:05:51.824626352,325,6610,4733,1877,720,2203.33,9180.56
2026-05-29T10:05:54.612923797,326,3541,2551,990,526,1180.33,6731.94
2026-05-29T10:05:57.660492170,327,4674,3342,1332,559,1558.00,8361.36
2026-05-29T10:06:00.746204555,328,5466,3962,1504,644,1822.00,8487.58
2026-05-29T10:06:03.693227956,329,4207,2998,1209,592,1402.33,7106.42
2026-05-29T10:06:06.559845975,330,3529,2541,988,472,1176.33,7476.69
2026-05-29T10:06:09.719375034,331,4525,3256,1269,621,1508.33,7286.63
2026-05-29T10:06:12.696238781,332,4288,3068,1220,600,1429.33,7146.67
2026-05-29T10:06:15.572731956,333,3970,2856,1114,462,1323.33,8593.07
2026-05-29T10:06:18.599680724,334,5059,3623,1436,495,1686.33,10220.20
2026-05-29T10:06:21.727649055,335,5262,3843,1419,637,1754.00,8260.60
2026-05-29T10:06:24.570190897,336,4337,3111,1226,479,1445.67,9054.28
2026-05-29T10:06:27.475261463,337,3517,2506,1011,386,1172.33,9111.40
2026-05-29T10:06:30.645104815,338,6039,4338,1701,560,2013.00,10783.93
2026-05-29T10:06:33.734176159,339,5244,3719,1525,593,1748.00,8843.17
2026-05-29T10:06:36.573117146,340,4830,3443,1387,484,1610.00,9979.34
2026-05-29T10:06:39.593452072,341,4051,2888,1163,508,1350.33,7974.41
2026-05-29T10:06:42.653114596,342,6256,4489,1767,559,2085.33,11191.41
2026-05-29T10:06:45.592534207,343,4702,3370,1332,488,1567.33,9635.25
2026-05-29T10:06:48.557036685,344,3783,2742,1041,447,1261.00,8463.09
2026-05-29T10:06:51.753791269,345,4151,2988,1163,663,1383.67,6260.94
2026-05-29T10:06:54.732429169,346,4610,3276,1334,634,1536.67,7271.29
2026-05-29T10:06:57.717638333,347,8884,6361,2523,621,2961.33,14305.96
2026-05-29T10:07:00.627753507,348,7817,5583,2234,528,2605.67,14804.92
2026-05-29T10:07:03.522007852,349,3554,2586,968,426,1184.67,8342.72
2026-05-29T10:07:06.579478423,350,5862,4196,1666,482,1954.00,12161.83
2026-05-29T10:07:09.586639395,351,4419,3175,1244,458,1473.00,9648.47
2026-05-29T10:07:12.613390864,352,7383,5328,2055,515,2461.00,14335.92
2026-05-29T10:07:15.625182110,353,4050,2894,1156,525,1350.00,7714.29
2026-05-29T10:07:18.601807582,354,5083,3646,1437,507,1694.33,10025.64
2026-05-29T10:07:21.592264974,355,3368,2422,946,485,1122.67,6944.33
2026-05-29T10:07:24.535094982,356,4552,3258,1294,439,1517.33,10369.02
2026-05-29T10:07:27.549230787,357,6004,4340,1664,460,2001.33,13052.17
2026-05-29T10:07:30.584367702,358,4524,3265,1259,485,1508.00,9327.84
2026-05-29T10:07:33.604185924,359,6359,4550,1809,493,2119.67,12898.58
2026-05-29T10:07:36.635243563,360,3889,2759,1130,491,1296.33,7920.57
2026-05-29T10:07:39.645583770,361,6483,4663,1820,531,2161.00,12209.04
2026-05-29T10:07:42.580766813,362,5755,4107,1648,495,1918.33,11626.26
2026-05-29T10:07:45.573828908,363,4300,3070,1230,476,1433.33,9033.61
2026-05-29T10:07:48.658184541,364,7586,5472,2114,575,2528.67,13193.04
2026-05-29T10:07:51.946916231,365,873,629,244,859,291.00,1016.30
2026-05-29T10:11:05.800206081,366,23699,16976,6723,5198,2369.90,4559.25
2026-05-29T10:11:11.986947545,367,17567,12617,4950,1803,1756.70,9743.21
2026-05-29T10:11:22.310572234,368,23352,16752,6600,2132,2335.20,10953.10
2026-05-29T10:11:31.520614251,369,19632,14155,5477,1367,1963.20,14361.38
2026-05-29T10:11:41.915985291,370,21773,15549,6224,1800,2177.30,12096.11
2026-05-29T10:11:51.259466023,371,13835,9952,3883,1131,1383.50,12232.54
2026-05-29T10:12:01.853317573,372,18643,13389,5254,1704,1864.30,10940.73
2026-05-29T10:12:10.959978281,373,10904,7919,2985,844,1090.40,12919.43
2026-05-29T10:12:21.253036493,374,14566,10388,4178,1121,1456.60,12993.76
2026-05-29T10:12:31.316091867,375,17691,12630,5061,1191,1769.10,14853.90
2026-05-29T10:12:41.336466021,376,15425,11112,4313,1204,1542.50,12811.46
2026-05-29T10:12:51.461671310,377,18502,13178,5324,1352,1850.20,13684.91
2026-05-29T10:13:01.463474368,378,16310,11727,4583,1330,1631.00,12263.16
2026-05-29T10:13:11.321649882,379,15316,11045,4271,1216,1531.60,12595.39
2026-05-29T10:13:21.133637075,380,14907,10719,4188,999,1490.70,14921.92
2026-05-29T10:13:31.107244262,381,16107,11497,4610,998,1610.70,16139.28
2026-05-29T10:13:41.141139281,382,15254,10961,4293,1045,1525.40,14597.13
2026-05-29T10:13:51.097597974,383,6517,4687,1830,1003,651.70,6497.51
