timestamp,process_cpu_percent,system_relative_cpu,ram_rss_mb,ram_vms_mb
1780224565.8572652,203.0,50.75,4623.90234375,8158.421875
1780224566.8591342,159.8,39.95,4624.8828125,8161.421875
1780224567.860244,1.0,0.25,4624.8828125,8161.421875
1780224568.8611715,0.0,0.0,4624.8828125,8161.421875
1780224569.8625984,0.0,0.0,4624.8828125,8161.421875
1780224570.8643353,191.8,47.95,4626.9921875,8161.421875
1780224571.8693306,100.0,25.0,4627.84375,8163.421875
1780224572.8704555,1.0,0.25,4627.84375,8163.421875
1780224573.8721552,0.0,0.0,4627.84375,8163.421875
1780224574.8755963,1.0,0.25,4627.84375,8163.421875
1780224575.8776202,181.8,45.45,4629.1015625,8163.421875
1780224576.8791983,77.0,19.25,4630.12109375,8165.421875
1780224577.88279,0.0,0.0,4623.75390625,8165.421875
1780224578.8839273,1.0,0.25,4623.75390625,8165.421875
1780224579.885584,0.0,0.0,4623.75390625,8165.421875
1780224580.9482632,161.4,40.35,4625.28515625,8165.421875
1780224581.9558651,102.0,25.5,4626.4140625,8167.421875
1780224582.9594026,0.0,0.0,4626.4140625,8167.421875
1780224583.9598165,0.0,0.0,4626.4140625,8167.421875
1780224584.9613872,3.0,0.75,4626.4140625,8167.421875
1780224585.9654129,192.4,48.1,4631.18359375,8190.421875
1780224586.9673002,59.9,14.975,4631.47265625,8191.421875
1780224587.9696348,1.0,0.25,4631.47265625,8191.421875
1780224588.9705865,1.0,0.25,4631.47265625,8191.421875
1780224589.9715393,0.0,0.0,4631.47265625,8191.421875
1780224590.9735932,189.7,47.425,4632.23828125,8191.421875
1780224591.974858,26.0,6.5,4632.4375,8191.421875
1780224592.978429,0.0,0.0,4632.4375,8191.421875
1780224593.980161,2.0,0.5,4632.4375,8191.421875
1780224594.9812305,0.0,0.0,4632.4375,8191.421875
1780224595.983091,213.7,53.425,4638.75,8191.42578125
1780224596.9836798,16.0,4.0,4638.81640625,8191.421875
1780224597.9856143,0.0,0.0,4638.81640625,8191.421875
1780224598.986395,1.0,0.25,4638.81640625,8191.421875
1780224599.9880471,0.0,0.0,4638.75390625,8191.421875
1780224600.9892595,181.0,45.25,4640.6484375,8191.421875
1780224601.9900508,0.0,0.0,4640.6484375,8191.421875
1780224602.990784,1.0,0.25,4640.6484375,8191.421875
1780224603.9985442,1.0,0.25,4640.6484375,8191.421875
1780224604.9998646,1.0,0.25,4639.09375,8191.421875
1780224606.000291,170.0,42.5,4641.00390625,8191.421875
1780224607.0010793,0.0,0.0,4641.00390625,8191.421875
1780224608.0019228,0.0,0.0,4641.00390625,8191.421875
1780224609.003237,1.0,0.25,4640.875,8191.421875
1780224610.0039206,1.0,0.25,4640.875,8191.421875
1780224611.0054832,199.7,49.925,4646.37890625,8191.45703125
1780224612.0066633,3.0,0.75,4646.3671875,8191.421875
1780224613.0094573,0.0,0.0,4646.3671875,8191.421875
1780224614.011949,0.0,0.0,4646.3671875,8191.421875
1780224615.0125146,2.0,0.5,4646.3671875,8191.421875
1780224616.0136077,167.9,41.975,4651.5625,8191.421875
1780224617.0161915,0.0,0.0,4651.5625,8191.421875
1780224618.0168955,0.0,0.0,4651.5625,8191.421875
1780224619.0181274,1.0,0.25,4651.5625,8191.421875
1780224620.0186408,1.0,0.25,4651.56640625,8191.421875
1780224621.020665,161.0,40.25,4651.7734375,8191.421875
1780224622.021417,1.0,0.25,4651.7734375,8191.421875
1780224623.0223098,0.0,0.0,4651.7734375,8191.421875
1780224624.022976,0.0,0.0,4651.7734375,8191.421875
1780224625.024137,2.0,0.5,4651.7734375,8191.421875
1780224626.0248785,163.9,40.975,4652.5,8191.421875
1780224627.0263946,2.0,0.5,4652.36328125,8191.421875
1780224628.0328414,0.0,0.0,4652.36328125,8191.421875
1780224629.0354269,0.0,0.0,4652.36328125,8191.421875
1780224630.0390546,3.0,0.75,4652.36328125,8191.421875
1780224631.0397637,164.9,41.225,4655.921875,8191.421875
1780224632.043258,0.0,0.0,4655.85546875,8191.421875
1780224633.0457392,1.0,0.25,4655.85546875,8191.421875
1780224634.050262,0.0,0.0,4649.6328125,8191.421875
1780224635.0507786,3.0,0.75,4649.6328125,8191.421875
