timestamp,batchId,totalRows,normalRows,anomalyRows,latencyMs,inputRowsPerSecond,processedRowsPerSecond
2026-05-31T10:45:17.468049141,0,0,0,0,548,0.00,0.00
2026-05-31T10:45:28.148162660,1,1106,833,273,2895,221.20,382.04
2026-05-31T10:45:32.461684033,2,8469,6466,2003,2309,1693.80,3667.82
2026-05-31T10:45:36.805347808,3,8418,6345,2073,1674,1683.60,5028.67
2026-05-31T10:45:41.582693577,4,9472,7289,2183,1429,1894.40,6628.41
2026-05-31T10:45:46.511794854,5,8935,6734,2201,1390,1787.00,6428.06
2026-05-31T10:45:51.661793239,6,8559,6425,2134,1501,1711.80,5702.20
2026-05-31T10:45:56.306184522,7,9020,6820,2200,1180,1804.00,7644.07
2026-05-31T10:46:01.388885922,8,10047,7588,2459,1240,2009.40,8102.42
2026-05-31T10:46:06.408667342,9,9667,7336,2331,1278,1933.40,7564.16
2026-05-31T10:46:11.791617405,10,9479,7256,2223,1574,1895.80,6022.24
2026-05-31T10:46:16.589544483,11,8880,6684,2196,1393,1776.00,6374.73
2026-05-31T10:46:21.600172813,12,7813,5928,1885,1382,1562.60,5653.40
2026-05-31T10:46:26.840343757,13,8185,6203,1982,1619,1637.00,5055.59
2026-05-31T10:46:32.182257626,14,7972,6075,1897,1921,1594.40,4149.92
2026-05-31T10:46:36.777239783,15,8196,6205,1991,1568,1639.20,5227.04
2026-05-31T10:46:41.582526806,16,7848,5946,1902,1383,1569.60,5674.62
2026-05-31T10:46:46.977854389,17,9327,7162,2165,1755,1865.40,5314.53
2026-05-31T10:46:51.493661709,18,7900,6005,1895,1297,1580.00,6090.98
2026-05-31T10:46:56.242830790,19,8552,6508,2044,1041,1710.40,8215.18
2026-05-31T10:47:01.346673366,20,9995,7664,2331,1164,1999.00,8586.77
2026-05-31T10:47:06.426645542,21,9087,6941,2146,1250,1817.40,7269.60
2026-05-31T10:47:11.943721083,22,9437,7136,2301,1771,1887.40,5328.63
2026-05-31T10:47:16.336670108,23,8143,6153,1990,1116,1628.60,7296.59
2026-05-31T10:47:21.259054837,24,5493,4166,1327,1153,1098.60,4764.09
