timestamp,process_cpu_percent,system_relative_cpu,ram_rss_mb,ram_vms_mb
1780232013.4459605,210.6,52.65,4624.08984375,8014.375
1780232014.4467466,114.0,28.5,4622.29296875,8020.375
1780232015.4486716,103.8,25.95,4624.6328125,8084.40625
1780232016.4509697,230.8,57.7,4630.28515625,8025.375
1780232017.4543428,21.0,5.25,4630.52734375,8025.375
1780232018.455342,0.0,0.0,4630.52734375,8025.375
1780232019.4570558,0.0,0.0,4626.61328125,8025.375
1780232020.477564,115.9,28.975,4630.1953125,8101.40625
1780232021.4793675,212.7,53.175,4642.5234375,8145.5078125
1780232022.4814012,2.0,0.5,4642.5234375,8145.5078125
1780232023.4824443,0.0,0.0,4642.5234375,8145.5078125
1780232024.4829128,2.0,0.5,4642.5234375,8145.5078125
1780232025.4866128,110.7,27.675,4643.38671875,8209.5390625
1780232026.4894078,167.6,41.9,4642.9765625,8147.5078125
1780232027.4901958,1.0,0.25,4642.9765625,8147.5078125
1780232028.490939,0.0,0.0,4642.9765625,8147.5078125
1780232029.4917703,1.0,0.25,4642.9765625,8147.5078125
1780232030.4938107,115.8,28.95,4644.64453125,8211.5390625
1780232031.4954474,136.9,34.225,4646.0078125,8148.5078125
1780232032.5067074,1.0,0.25,4646.0078125,8148.5078125
1780232033.5116258,0.0,0.0,4644.37109375,8148.5078125
1780232034.5126662,1.0,0.25,4644.43359375,8148.5078125
1780232035.518935,130.6,32.65,4645.5390625,8171.51953125
1780232036.521726,110.9,27.725,4647.0390625,8150.5078125
1780232037.522963,0.0,0.0,4645.8984375,8150.5078125
1780232038.5261726,1.0,0.25,4645.8984375,8150.5078125
1780232039.5290318,0.0,0.0,4644.58984375,8150.5078125
1780232040.5302203,124.9,31.225,4646.83984375,8214.5390625
1780232041.5311158,109.0,27.25,4647.828125,8150.5078125
1780232042.5326707,0.0,0.0,4647.828125,8150.5078125
1780232043.5338082,1.0,0.25,4647.82421875,8150.5078125
1780232044.5351307,1.0,0.25,4647.82421875,8150.5078125
1780232045.5369174,127.9,31.975,4648.15234375,8149.5078125
1780232046.539794,73.9,18.475,4648.9375,8152.5078125
1780232047.5414479,0.0,0.0,4648.9375,8152.5078125
1780232048.547864,1.0,0.25,4648.9375,8152.5078125
1780232049.551411,0.0,0.0,4648.9375,8152.5078125
1780232050.5533779,128.8,32.2,4650.234375,8185.51953125
1780232051.5549817,100.0,25.0,4652.8046875,8174.5078125
1780232052.5561254,0.0,0.0,4652.8046875,8174.5078125
1780232053.558314,2.0,0.5,4652.8046875,8174.5078125
1780232054.5595074,0.0,0.0,4652.8046875,8174.5078125
1780232055.5634341,129.5,32.375,4654.09375,8173.5078125
1780232056.5645068,62.0,15.5,4655.0546875,8174.5078125
1780232057.5654335,0.0,0.0,4655.0546875,8174.5078125
1780232058.5661588,1.0,0.25,4655.0546875,8174.5078125
1780232059.5670123,0.0,0.0,4655.0546875,8174.5078125
1780232060.5687995,122.9,30.725,4655.80859375,8173.5078125
1780232061.5731268,63.0,15.75,4657.9765625,8174.5078125
1780232062.5746622,0.0,0.0,4657.9765625,8174.5078125
1780232063.5944607,0.0,0.0,4657.9765625,8174.5078125
1780232064.5955598,1.0,0.25,4657.9765625,8174.5078125
1780232065.5979264,132.7,33.175,4659.71875,8173.5078125
1780232066.5985622,59.0,14.75,4662.28125,8174.5078125
1780232067.600217,0.0,0.0,4662.28125,8174.5078125
1780232068.6009192,0.0,0.0,4662.28125,8174.5078125
1780232069.601581,1.0,0.25,4662.28125,8174.5078125
1780232070.6037335,140.0,35.0,4663.109375,8162.5078125
1780232071.605003,76.9,19.225,4664.171875,8168.5078125
