timestamp,process_cpu_percent,system_relative_cpu,ram_rss_mb,ram_vms_mb
1780231826.7695646,235.8,58.95,4635.28515625,8161.5625
1780231827.7704706,15.0,3.75,4635.64453125,8164.5625
1780231828.7723927,0.0,0.0,4635.64453125,8164.5625
1780231829.7737355,1.0,0.25,4635.64453125,8164.5625
1780231830.7825692,192.8,48.2,4638.28515625,8164.5625
1780231831.7840793,185.8,46.45,4641.703125,8192.5625
1780231832.7860255,1.0,0.25,4641.703125,8192.5625
1780231833.7870479,0.0,0.0,4641.703125,8192.5625
1780231834.7884154,2.0,0.5,4641.703125,8192.5625
1780231835.792099,186.9,46.725,4642.6875,8192.5625
1780231836.7934778,128.9,32.225,4643.58203125,8192.5625
1780231837.7955363,1.0,0.25,4643.58203125,8192.5625
1780231838.7988896,1.0,0.25,4643.58203125,8192.5625
1780231839.800235,0.0,0.0,4643.58203125,8192.5625
1780231840.8054717,178.6,44.65,4645.18359375,8192.5625
1780231841.8086128,93.7,23.425,4646.3203125,8192.5625
1780231842.8094275,0.0,0.0,4646.3203125,8192.5625
1780231843.8106365,1.0,0.25,4646.3203125,8192.5625
1780231844.815958,1.0,0.25,4646.3203125,8192.5625
1780231845.818621,184.8,46.2,4648.59375,8192.5625
1780231846.8225994,120.7,30.175,4648.90625,8192.5625
1780231847.8237944,1.0,0.25,4648.90625,8192.5625
1780231848.8262618,0.0,0.0,4648.90625,8192.5625
1780231849.8277638,0.0,0.0,4648.90625,8192.5625
1780231850.8287446,183.9,45.975,4649.546875,8192.5625
1780231851.8305008,80.9,20.225,4649.93359375,8192.5625
1780231852.8313344,1.0,0.25,4649.93359375,8192.5625
1780231853.8327081,0.0,0.0,4649.93359375,8192.5625
1780231854.8339455,2.0,0.5,4649.93359375,8192.5625
1780231855.8352003,173.9,43.475,4650.6328125,8192.5625
1780231856.8401985,44.8,11.2,4650.76171875,8192.5625
1780231857.8424997,2.0,0.5,4649.3125,8192.5625
1780231858.8435795,0.0,0.0,4649.3125,8192.5625
1780231859.8447952,1.0,0.25,4648.6484375,8192.5625
1780231860.8463976,154.8,38.7,4652.109375,8192.5625
1780231861.847817,94.9,23.725,4652.9921875,8192.5625
1780231862.8499503,0.0,0.0,4652.98828125,8192.5625
1780231863.8518426,0.0,0.0,4652.98828125,8192.5625
1780231864.8536794,1.0,0.25,4652.98828125,8192.5625
1780231865.8558755,176.7,44.175,4654.25390625,8192.5625
1780231866.8565545,29.0,7.25,4654.3203125,8192.5625
1780231867.8586042,0.0,0.0,4654.3203125,8192.5625
1780231868.8632355,1.0,0.25,4654.3203125,8192.5625
1780231869.8673568,0.0,0.0,4654.3203125,8192.5625
1780231870.8749504,174.7,43.675,4655.0078125,8192.5625
1780231871.8773217,13.0,3.25,4655.0703125,8192.5625
1780231872.8797867,1.0,0.25,4655.0703125,8192.5625
1780231873.8816526,0.0,0.0,4655.0703125,8192.5625
