timestamp,batchId,totalRows,normalRows,anomalyRows,latencyMs,inputRowsPerSecond,processedRowsPerSecond
2026-05-31T12:52:59.606135745,23,0,0,0,1342,0.00,0.00
2026-05-31T12:53:33.833710662,24,6737,4835,1902,3597,1347.40,1872.95
2026-05-31T12:53:36.348525234,25,7311,5237,2074,1191,1462.20,6138.54
2026-05-31T12:53:41.329543445,26,9484,6941,2543,1183,1896.80,8016.91
2026-05-31T12:53:46.189174894,27,9123,6591,2532,1060,1824.60,8606.60
2026-05-31T12:53:51.088474577,28,9988,7123,2865,948,1997.60,10535.86
2026-05-31T12:53:55.964967815,29,9571,6881,2690,843,1914.20,11353.50
2026-05-31T12:54:01.014790719,30,9456,6830,2626,900,1891.20,10506.67
2026-05-31T12:54:05.852839621,31,10500,7561,2939,739,2100.00,14208.39
2026-05-31T12:54:10.976068473,32,9834,7162,2672,874,1966.80,11251.72
2026-05-31T12:54:15.835519766,33,9638,6959,2679,736,1927.60,13095.11
2026-05-31T12:54:20.816501362,34,9478,6878,2600,706,1895.60,13424.93
2026-05-31T12:54:25.870649675,35,9100,6609,2491,773,1820.00,11772.32
2026-05-31T12:54:30.947576785,36,10432,7505,2927,846,2086.40,12330.97
2026-05-31T12:54:35.874739685,37,10014,7240,2774,769,2002.80,13022.11
2026-05-31T12:54:40.812993200,38,9731,7080,2651,717,1946.20,13571.83
2026-05-31T12:54:45.963520282,39,10334,7461,2873,867,2066.80,11919.26
2026-05-31T12:54:50.844795500,40,9711,7061,2650,743,1942.20,13069.99
2026-05-31T12:54:55.834854341,41,10531,7646,2885,734,2106.20,14347.41
2026-05-31T12:55:00.871691585,42,10126,7356,2770,762,2025.20,13288.71
2026-05-31T12:55:05.860068862,43,9884,7051,2833,753,1976.80,13126.16
2026-05-31T12:55:11.414722253,44,8986,6479,2507,1250,1797.20,7188.80
