timestamp,batchId,totalRows,normalRows,anomalyRows,latencyMs,inputRowsPerSecond,processedRowsPerSecond
2026-05-31T12:50:23.467882048,115,898,647,251,2765,179.60,324.77
2026-05-31T12:50:26.811704624,116,7108,5080,2028,1635,1421.60,4347.40
2026-05-31T12:50:31.519966908,117,9025,6449,2576,1374,1805.00,6568.41
2026-05-31T12:50:36.342067590,118,9458,6882,2576,1195,1891.60,7914.64
2026-05-31T12:50:41.207955055,119,9149,6564,2585,1052,1829.80,8696.77
2026-05-31T12:50:46.292008166,120,9137,6449,2688,1145,1827.40,7979.91
2026-05-31T12:50:51.125704725,121,9616,6907,2709,979,1923.20,9822.27
2026-05-31T12:50:56.025534667,122,9638,6913,2725,899,1927.60,10720.80
2026-05-31T12:51:01.286008435,123,10560,7554,3006,1158,2112.00,9119.17
2026-05-31T12:51:05.989870580,124,9109,6577,2532,877,1821.80,10386.55
2026-05-31T12:51:10.916800856,125,8822,6337,2485,795,1764.40,11096.86
2026-05-31T12:51:15.925854680,126,9644,6954,2690,805,1928.80,11980.12
2026-05-31T12:51:20.920481243,127,10331,7410,2921,808,2066.20,12785.89
2026-05-31T12:51:25.942062471,128,10755,7725,3030,827,2151.00,13004.84
2026-05-31T12:51:30.913952444,129,9653,6933,2720,794,1930.60,12157.43
2026-05-31T12:51:35.934319734,130,9086,6547,2539,816,1817.20,11134.80
2026-05-31T12:51:40.930378361,131,9068,6501,2567,813,1813.60,11153.75
2026-05-31T12:51:45.933584982,132,10583,7620,2963,821,2116.60,12890.38
2026-05-31T12:51:51.023160021,133,8514,6135,2379,910,1702.80,9356.04
2026-05-31T12:51:56.093082464,134,9949,7183,2766,976,1989.80,10193.65
2026-05-31T12:52:00.865457026,135,10172,7193,2979,746,2034.40,13635.39
2026-05-31T12:52:06.267146661,136,9503,6797,2706,1163,1900.60,8171.11
